lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DN1,40DN2,40DN3,40DN4,40DN5,5DN1,5DN2,5DN3,5DN4,5DN5,SolventBlank1
TAG(60:7)_FA 20:0,1.5736210123792003,9.919677680359593,254.62812679712857,2.5439144293016016e-57,9.743192264225134e-55,978.9 -> 649.9,TAG2,256333.241699335,173211.01220701,486059.69421382,168962.932250987,231278.433532715,86751.2864494405,73844.2454071221,77935.1857071113,97413.9466553,78825.246520996,16037.3010292076
TAG(60:11)_FA 20:4,1.4433172360936453,9.851926096731473,215.73879980627544,7.689543219797973e-49,1.472547526591312e-46,970.9 -> 649.9,TAG2,209309.232666,161613.971984818,351480.861632797,185794.032958975,321598.72338871,84081.8461799743,73842.5242423859,81654.886108395,99582.28698732,80180.645507815,20366.3012886041
TAG(60:12)_FA 20:0,0.9804773739207783,8.580253142066972,101.5931952133825,6.817910413739809e-24,8.704198961541157e-22,968.9 -> 639.9,TAG2,89062.985839861,71164.505249042,112149.268493606,76577.024902327,104160.686492998,44266.623016365,42327.5228271567,36075.282501212,47666.043334953,42840.722900375,12170.0008392334
TAG(58:2)_FA 20:4,0.6658549058976817,8.875896171046955,47.34326859090129,5.9582377028989e-12,4.564010080420557e-10,960.9 -> 639.9,TAG2,93274.226684564,82540.526336668,113157.787139961,94862.78710935,137051.290405191,59144.804138181,58731.664367666,52889.483764644,76533.585205053,57051.204223637,12737.5806922957
TAG(58:7)_FA 18:0,0.666031832105042,11.05082990858438,47.409571995077386,5.76007287613051e-12,4.564010080420557e-10,950.8 -> 649.8,TAG1,395408.91015623,490579.17382807,470410.03051702,438645.66894536,439967.090088,253191.83874512,270221.12158205,251761.21984861,271397.87915046,263675.07958985,109017.167751314
TAG(58:4)_FA 20:0,0.6147619886507608,8.19617226657895,40.37995236126915,2.0907545561723293e-10,1.3345983250233369e-8,956.9 -> 627.9,TAG2,63678.624542214,60473.024169924,61428.023986794,65812.244720462,63710.203979482,38862.902557386,40709.682739265,35157.42263794,40314.742706282,36145.762390128,9830.3206901563
TAG(58:0)_FA 18:0,-0.5792456036069942,12.948752594464732,35.942824296944295,2.0319330972710205e-9,1.1117576803640012e-7,964.9 -> 663.9,TAG1,1223154.45556627,1044315.24707048,940073.35485893,1589388.55517568,1078848.6564943,1199124.40161066,3234616.76171872,1445198.30126935,1108965.20385724,1141724.58947712,76068.1050109935
TAG(56:0)_FA 16:0,-0.5600882774256369,12.828048401715995,33.61896283853275,6.703601067857505e-9,3.209349011236781e-7,936.9 -> 663.9,TAG1,1167925.72412054,914791.37011787,924246.26757814,1378737.9259035501,1054998.86328126,1021885.34765676,3167111.69531226,1292565.74194358,959928.42822305,984840.64477597,76772.1254119711
TAG(56:8)_FA 16:1,0.5524901533673563,11.202217089513402,32.71302279970678,1.0681914813282345e-8,4.545748192763487e-7,920.8 -> 649.796,TAG1,470206.29419,487759.25000031,497525.51733404,423315.71630834,522718.25122068,293240.22045919,309754.82006852,295895.87829566,326053.76489262,297078.66064451,125655.708358793
TAG(52:6)_FA 20:0,0.5327841297169882,8.265091927738773,30.388538362952886,3.536113521670936e-8,1.3543314787999683e-6,868.7 -> 539.7,TAG2,68356.684692358,59570.6441879279,51056.383697512,64231.7845115698,83080.1057891828,39259.8424911482,36376.4824523761,40786.2225608685,55130.5444145222,37897.2827873129,9644.2006530747
