lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,SolventBlank1
PG (22:6),3.4504619109004198,5.104233714890185,239.5076760052923,5.0356389065136284e-54,6.667185912224044e-51,574.2875 -> 385.2875,PG,45111.8627319158,48207.7032127605,31145.3218841615,23896.2017478949,2906.0802154533,2218.3001365667,2163.8201675418,2792.1001892093,2389.9601593018,3151.8402023308,16014.8812255813
C28:0,-3.1418019454339206,13.205805283021885,204.64367911317083,2.0255068649583922e-46,1.3408855446024556e-43,423.4 -> 423.4,FFA,5782760.52458999,11628.0208816531,9692.18068313671,7939.02061843738,7803.00058364789,157612.770446744,8102901.33940899,13633561.1171265,12365048.6641993,11184598.3163987,866714.910873862
PE (22:0),-2.964391746417417,4.123245599248968,184.13313058350855,6.067997959974148e-42,2.678009766335257e-39,538.3868 -> 397.3868,PE,1738.100131988,1531.6001129151,1510.6801071163,1472.2801055908,1615.0601158138,2675.8801765436,4784.5203361508,9639.9206352208,14878.8210983279,24065.0815048257,13443.8009567246
PE (22:1),-2.9197442268917557,4.20011507719955,179.36188773797682,6.679553759316052e-41,2.2109322943336132e-38,536.3712 -> 395.3712,PE,1822.7401084903,1529.6601104735,1681.3601226803,1719.3401222229,1733.7001266482,2398.2201919552,5171.3603477481,9205.8605766279,13671.4409675567,28124.461803431,14358.0611305199
Lyso_PE(22:0),-2.3653439853634484,3.666116444103389,122.98192410197001,1.4072511373542357e-28,3.726401011714016e-26,538.3794 -> 396.3794,PE,1681.7801132205,1665.2401123046,1721.820129395,1603.9401168821,1537.5801048285,1881.5601272577,4639.8802833563,6487.9804649353,11141.8807563789,14516.3009109515,9780.3806190484
Lyso_PG(22:6),2.3066387354206195,5.371721170372554,117.96382674954708,1.76579173021362e-27,3.896513751338054e-25,574.2801 -> 385.2801,PG,49069.043968204,54137.9638519511,34371.5621376189,33407.141964002,2536.120162964,2432.6601448065,19579.8407669073,2312.1201553347,3071.8601989743,5762.0205001777,15808.101089474
TAG(60:11)_FA 20:4,2.214923880143282,8.89981957777297,109.64863624142845,1.1699446480592379e-25,2.212866734329187e-23,970.9 -> 649.9,TAG2,477913.50939894,403559.80468746,131491.569152863,1076784.8359375,298275.203491165,77275.305236797,92287.7866211,93562.94677733,83632.285827637,116514.26745602,20366.3012886041
PI (22:2),-2.152856806905455,4.839207838611047,103.85375603622992,2.1781449081537003e-24,3.604829822994374e-22,670.3662 -> 393.3662,PI,2450.7801742558,2164.7401504526,2553.7801856995,6254.2803154029,10589.8808860809,20092.1820564671,7806.440643312,20494.6607780587,26647.0019645608,22361.1618156473,15664.6610870402
Lyso_PE(22:1),-2.056940772030051,3.317726477283365,95.06695576494755,1.840535272225378e-22,2.7076318893626672e-20,536.3638 -> 394.3638,PE,1980.9001541131,1522.160114288,1712.6401176455,1493.6801109313,1619.8201103204,2214.2201576238,3867.140258788,6169.9403762835,7156.4805374163,12307.5408668521,6477.7204208365
TAG(60:7)_FA 20:0,1.955878559091186,8.64937118817853,87.06592969615684,1.04963216820011e-20,1.3897129906969458e-18,978.9 -> 649.9,TAG2,546686.753418,359981.999816819,129071.428886405,526453.653625534,356377.125855,80989.204956042,91331.66693112,91597.00598146,85485.40631099,101364.447204601,16037.3010292076
PEp (42:6),1.8975587986084608,10.836890861551908,82.27596191723569,1.1835278096248622e-19,1.4245371090393796e-17,804.5903 -> 663.5903,PE,1589498.7687374,1395686.43615724,1349922.99041755,3332502.54724062,976278.828918588,439426.91162108,486583.14068558,472024.451660604,333580.761779888,373051.383605982,114452.72943117
